Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
ATCC 19433,Enterococcus faecalis,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19433,https://www.atcc.org/products/19433
ATCC 19433,Enterococcus faecalis,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19433,https://www.atcc.org/products/19433
ATCC 700831,Klebsiella planticola,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,26°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700831,https://www.atcc.org/products/700831
ATCC 700831,Klebsiella planticola,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,26°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=700831,https://www.atcc.org/products/700831
ATCC 19615,Streptococcus pyogenes,Pharynx of child following episode of sore throat,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19615,https://www.atcc.org/products/19615
ATCC 19615,Streptococcus pyogenes,Pharynx of child following episode of sore throat,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19615,https://www.atcc.org/products/19615
ATCC 19434,Enteroccus faecium,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19434,https://www.atcc.org/products/19434
ATCC 19434,Enteroccus faecium,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19434,https://www.atcc.org/products/19434
ATCC 13883,"Klebsiella pneumoniae, subsp. pneumoniae",N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13883,https://www.atcc.org/products/13883
ATCC 13883,"Klebsiella pneumoniae, subsp. pneumoniae",N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13883,https://www.atcc.org/products/13883
ATCC 13813,Streptococcus agalactiae,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13813,https://www.atcc.org/products/13813
ATCC 13813,Streptococcus agalactiae,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13813,https://www.atcc.org/products/13813
ATCC 29906,Proteus mirabilis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29906,https://www.atcc.org/products/29906
ATCC 29906,Proteus mirabilis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29906,https://www.atcc.org/products/29906
ATCC 27061,Achromobacter xylosoxidans,Ear discharge,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27061,https://www.atcc.org/products/27061
ATCC 27061,Achromobacter xylosoxidans,Ear discharge,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27061,https://www.atcc.org/products/27061
ATCC 19414,Erysipelothrix rhusiopathiae,Spleen of pig with endocarditis,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19414,https://www.atcc.org/products/19414
ATCC 19414,Erysipelothrix rhusiopathiae,Spleen of pig with endocarditis,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19414,https://www.atcc.org/products/19414
ATCC 33317,Streptococcus bovis,Cow dung,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=33317,https://www.atcc.org/products/33317
